keyword,category,video_id,title,published_date,duration_seconds,view_count,like_count,comment_count
Traditional selective breeding in plant breeding,Old,9vUFdsqh8U8,Plant Breeding,2018-05-14T15:47:14Z,3286.0,22848,523,11
Traditional selective breeding in plant breeding,Old,7Ipg5maFXb0,Conventional Plant Breeding (Video -1),2021-09-13T15:47:04Z,189.0,6028,123,7
Traditional selective breeding in plant breeding,Old,UpFuOLgqnqw,Natural Breeding vs Genetic Engineering: What's the Difference?,2024-11-25T05:24:35Z,34.0,27,2,0
Traditional selective breeding in plant breeding,Old,TbE4hGv83oQ,"Breeding, Evaluation, and Selection of Hardy Landscape Plants",2014-02-24T19:23:12Z,3203.0,297,1,0
Traditional selective breeding in plant breeding,Old,0GKWl2DYo84,Why does SRA use drones in Plant Breeding?,2023-10-05T00:56:15Z,160.0,276,5,0
Traditional selective breeding in plant breeding,Old,dppisu-RIg8,Patricio Munoz: Research of Breeding Approaches and Fruit Quality to Develop Better Blueberries,2022-10-10T19:57:21Z,2921.0,453,12,0
Traditional selective breeding in plant breeding,Old,-Awz3uebiJU,Participatory Plant Breeding for Canadian Organic Crop Production,2016-10-18T19:16:32Z,1466.0,232,9,0
Traditional selective breeding in plant breeding,Old,GskVxneI_wI,Big Data in plant science: The UW maize breeding and genetics program,2017-07-11T20:50:49Z,1865.0,942,13,0
Traditional selective breeding in plant breeding,Old,UIfdP2MBvYw,Marker assisted selection | quantitative trait loci mediated MAS,2015-12-09T15:37:30Z,766.0,45996,855,31
Traditional selective breeding in plant breeding,Old,-W31acHwAVE,Webinar: Enhancing and measuring Genetic Gain in crop breeding,2020-11-20T19:33:57Z,7661.0,4064,67,3
Traditional selective breeding in plant breeding,Old,G5lOEbv0Yg4,Genomics-Assisted Breeding Overview - Aaron Lorenz,2017-09-20T15:04:54Z,1615.0,7356,0,0
Traditional selective breeding in plant breeding,Old,uhFI7iFwSo8,Breeding for Beauty — the World of Flowers and Ornamental Plants,2023-06-22T05:34:22Z,1926.0,157,0,0
Landrace selection in plant breeding,Old,WcpX7j2WFzE,What is Landrace Gardening? How do I Breed Plants? Seed selection & landrace vs heirloom seeds.1,2023-12-06T19:56:32Z,977.0,685,14,0
Landrace selection in plant breeding,Old,DGJfufJjqDw,Emily Bellis: Understanding crop landrace evolution to accelerate breeding for environments,2023-12-20T14:36:38Z,3421.0,286,6,0
Landrace selection in plant breeding,Old,Fy5eFqIWnms,Landrace or Heirlooms What Should be Used with Cannabis,2023-01-23T15:00:11Z,329.0,8877,367,67
Landrace selection in plant breeding,Old,tBGtvVJLPiY,Ten of the worlds BEST CANNABIS Landrace Strains!,2021-08-11T13:00:10Z,421.0,47135,1640,168
Landrace selection in plant breeding,Old,MjImZgriWHc,Unlocking the Genetic Capacity of Corn with Landrace Breeding - October 2022,2023-09-22T07:00:10Z,384.0,813,27,15
Landrace selection in plant breeding,Old,7mCInHa66FE,Landraces Made Easy,2022-02-10T15:00:04Z,241.0,74,3,0
Landrace selection in plant breeding,Old,wPkvVO9PVtU,#onepieceatatimedistillinginstitute Landrace corn breeding and selection for home distilling,2022-07-14T17:27:17Z,534.0,207,22,11
Landrace selection in plant breeding,Old,3nKLTTbgrcA,HERMAPHRODITIC CANNABIS - COMMON IN LANDRACES!,2023-08-12T20:21:36Z,219.0,938,52,9
Landrace selection in plant breeding,Old,UHcmezGwmOc,Corn Landraces | Colorado Field Crop Tour,2021-03-31T15:32:27Z,121.0,763,27,0
Landrace selection in plant breeding,Old,MmFJzj8SteA,Cannabis Breeding Basics - Advanced Topic,2016-12-03T17:11:50Z,384.0,360798,7380,357
Landrace selection in plant breeding,Old,ULvcGIAetRc,Franco: Leveraging maize landrace environmental and genetic diversity ...,2018-12-02T19:56:50Z,803.0,154,0,1
Landrace selection in plant breeding,Old,xqCCrHlehXQ,"Modern Landrace Breeding vs  How the Term ""Landrace"" Is Used in the Cannabis World",2022-11-08T20:42:24Z,2210.0,162,2,0
Landrace selection in plant breeding,Old,Xi4mR3rtexY,Selection,2020-05-14T04:56:03Z,1080.0,72,7,0
Landrace selection in plant breeding,Old,CbUYTzhJeVg,Ancient landraces provide novel genetic diversity for future breeding,2021-03-15T12:14:16Z,3782.0,132,2,0
Landrace selection in plant breeding,Old,TAw3Oeon-4o,Harvesting Loads of Landrace Squash,2022-09-30T18:16:38Z,16.0,1617,23,1
Landrace selection in plant breeding,Old,OrtpELthBIE,Cannabis Landrace Strain Explained,2021-02-10T21:15:01Z,185.0,16661,313,58
Landrace selection in plant breeding,Old,x_gnTR7BDNQ,"Seeds: Landraces and Heirlooms, OPs and Hybrids",2023-03-21T20:07:57Z,2742.0,200,6,0
Landrace selection in plant breeding,Old,rzo03KZzlYU,The Status of Corn Breeding in the United States,2017-11-14T20:43:15Z,3339.0,252,2,0
Landrace selection in plant breeding,Old,9M9ht0rJ8DE,GYGO Episode 6: Landrace Gardening with Joseph Lofthouse,2023-01-07T01:41:26Z,2873.0,1006,50,5
Landrace selection in plant breeding,Old,LgXOpL1nlKY,John Bradshaw - Overview of 120 Years of Scientific Plant Breeding,2022-06-04T14:28:04Z,143.0,17,1,0
Landrace selection in plant breeding,Old,ZBS4xQoxKtI,DO 133 - Landrace Plant Breeding and the Future of Food,2023-04-13T15:49:12Z,3980.0,438,19,1
Landrace selection in plant breeding,Old,wiMI-uGcsIk,Plant Breeding: Science + Creative Problem Solving,2014-05-03T01:03:30Z,1625.0,44033,459,22
Landrace selection in plant breeding,Old,9puibWmeqVk,Who is Driving Technology Uptake in Plant Breeding?   Professor Peter Langridge at P2IRC,2018-01-30T22:26:41Z,1399.0,118,2,0
Landrace selection in plant breeding,Old,XPRVGr5QgWc,Breeding selection for locally adapted plants. #garden #gardening #mittleider #vegan #urbanfarming,2023-07-19T17:48:23Z,38.0,256,11,0
Landrace selection in plant breeding,Old,Q6bVkTZRfqs,Conventional 3   Mass selection,2020-11-21T13:30:42Z,514.0,325,8,0
Landrace selection in plant breeding,Old,vyBwAWpUjLs,Witness the Birth of a Landrace Tobacco Breeding Project,2023-06-28T16:21:44Z,415.0,224,14,2
Landrace selection in plant breeding,Old,JR8jSYFaPco,Landraces VS Modern Strains : Old School VS New School Cannabis,2019-08-22T16:32:05Z,434.0,87875,2208,508
Landrace selection in plant breeding,Old,X3AY89FdsUI,DRRW Course 31 Wheat Breeding More than Just Making Crosses gordon cisar 5 Match Source   Medium bit,2021-11-23T17:27:43Z,611.0,18,0,0
Landrace selection in plant breeding,Old,zMtXR2EscEQ,Landrace Gardening: Making Peace with Genetic Diversity,2023-02-14T12:48:33Z,3446.0,5133,214,18
Landrace selection in plant breeding,Old,8G59hc4cN-Y,Nigel Maxted: Genetic diversity: maximizing the founding resources for plant breeding,2021-12-07T15:58:31Z,3805.0,189,2,0
Landrace selection in plant breeding,Old,J7Pv9C6FCDY,Preservation of landraces!,2021-10-18T13:35:16Z,429.0,6856,389,55
Landrace selection in plant breeding,Old,PUDWrxpu-xA,Cannabis Landraces & Exotic Germplasm as a Great Source for Resistance Breeding Against Powdery Mild,2023-06-14T17:41:57Z,1499.0,1551,58,9
Landrace selection in plant breeding,Old,iPo_bbo6dMk,ILSI IFBiC - Safety Of GM Crops: Compositional Analysis (Speaker: Flavio Breseghello),2012-10-04T18:05:27Z,2010.0,178,1,0
Landrace selection in plant breeding,Old,3f6wrHzUy-I,"Maize Diversity, Bottlenecks, Selection, and Adaptation. An NAPB GSWG webinar with Dr. Jim Holland",2024-01-22T02:17:41Z,3556.0,587,29,1
Landrace selection in plant breeding,Old,uswT_C3oAzY,Selecting High-Quality Breeding Material,2023-01-19T01:19:56Z,5224.0,688,16,3
Landrace selection in plant breeding,Old,0BNH05UvfFY,The Role of Wild Relatives and Landraces in Crop Breeding for Sustainable Agriculture #biologyUPSC,2024-05-20T16:20:55Z,61.0,35,4,0
Landrace selection in plant breeding,Old,HTJhV4CjZrE,Plant Cunning Podcast Ep58: Joseph Lofthouse on Landrace Gardening and Seed Saving,2021-12-02T01:19:45Z,2863.0,1211,45,8
Landrace selection in plant breeding,Old,nU_CUiRlC1M,How Do You Create Feminized CANNABIS Seeds?,2019-11-29T12:00:08Z,119.0,105278,2223,173
Landrace selection in plant breeding,Old,L4eKEA5BT3Q,plbr403 - Genetic Improvement of Crop Plants - Lecture 9,2014-01-15T17:14:23Z,2910.0,5131,62,3
Landrace selection in plant breeding,Old,9K-hfLCV5eo,Plant Breeding,2021-01-21T00:19:48Z,3004.0,226,5,1
Landrace selection in plant breeding,Old,D8l0eZvhZHY,"Rare Cannabis Genetics Kept Hidden Until Now  - Captain Jack, Cannabis Breeder",2023-06-09T03:30:07Z,17.0,52857,1889,180
Landrace selection in plant breeding,Old,sJuhwdsqYAs,2017 Texas A&M Plant Breeding Symposium: Dr. Susan McCouch,2017-09-20T16:00:06Z,3356.0,969,19,0
Landrace selection in plant breeding,Old,gBY2c8UTsm4,Landrace Breeding and Outcrossing,2022-01-30T21:12:10Z,7430.0,11220,378,74
Landrace selection in plant breeding,Old,FRA4vaEh7dM,How to Accelerate Genetic Gains in Crop Improvement Programmes?,2020-06-13T13:55:26Z,5108.0,1871,72,0
Landrace selection in plant breeding,Old,0ZCrS3Y1l_4,Introduction to Plant Breeding Lecture 2,2020-12-31T17:08:59Z,2079.0,767,43,2
Landrace selection in plant breeding,Old,fB8uWj0BWmQ,Organic Radish Breeding: Happy Accidents,2019-03-18T22:18:00Z,50.0,135,2,1
Landrace selection in plant breeding,Old,0i5S9swsnLQ,Jose Arcadio Valdes Franco: Genome Assemblies and Landrace Diversity ...,2019-12-16T20:25:12Z,837.0,307,7,0
Landrace selection in plant breeding,Old,F07mv9Xo-Vk,Maize breeding: genetic and morphological characterization of maize landraces for heat tolerance,2023-09-26T11:49:13Z,3410.0,327,4,0
Landrace selection in plant breeding,Old,Ykz4QwhbV8U,Landrace Genetics w/ Angus from The Real Seed Company,2023-09-05T00:02:00Z,16579.0,9307,385,91
Landrace selection in plant breeding,Old,wlWALM2a7o8,Selecting Male Plants for Breeding,2019-04-23T15:19:29Z,596.0,51564,1113,123
Phenotypic selection in plant breeding,Old,3B4LEssKSLs,GCSE Biology - Selective Breeding  #77,2019-01-11T13:21:15Z,225.0,216084,2613,82
Phenotypic selection in plant breeding,Old,m7i3tdEiyFA,Applying Machine Learning to Predictive Plant Breeding,2021-03-15T07:06:41Z,748.0,1741,28,0
Phenotypic selection in plant breeding,Old,gM6U7g9Lu4E,Marker-assisted breeding,2019-10-01T13:47:09Z,175.0,15094,243,6
Phenotypic selection in plant breeding,Old,H3DtOOTkjRc,Using nuclear science in marker-assisted plant breeding,2018-09-13T08:10:49Z,188.0,17851,0,0
Phenotypic selection in plant breeding,Old,UiQv_sQY88I,Nicolas Heslot - Optimal Use of Phenotypic Data for Breeding Using Genomic Predictions,2013-12-17T14:43:09Z,2532.0,1785,9,0
Phenotypic selection in plant breeding,Old,bjEuHbvbCZA,Marker Assisted Selection (MAS) in plant breeding: How CAPS markers work,2021-01-26T03:32:32Z,237.0,3632,90,4
Phenotypic selection in plant breeding,Old,OIZ0gPo17No,Modeling Genotype to Phenotype Relationships for Plant Breeding,2021-08-22T21:28:47Z,954.0,234,7,0
Phenotypic selection in plant breeding,Old,ViVJ3VRc2ec,Phenotype Profiling for Cannabis,2021-03-18T20:15:00Z,215.0,1929,68,4
Phenotypic selection in plant breeding,Old,GDbUotLIRQM,How was marker assisted selection used to produce SCUBA rice?,2018-08-31T16:35:16Z,490.0,12419,224,7
Phenotypic selection in plant breeding,Old,WsCzrU2_wWw,"Plant breeding using phenotypic markers, biochemical markers",2013-10-17T09:32:39Z,1120.0,6074,83,1
Phenotypic selection in plant breeding,Old,9qUovPhtug8,"Genomic Selection in Plant Breeding,Practicable or Otherwise?",2013-06-28T23:32:13Z,613.0,1828,8,0
Phenotypic selection in plant breeding,Old,PYXn2LCFMlY,The Interface of Basic Genetics and Plant Breeding - Torbert Rocheford,2012-11-27T06:45:32Z,3304.0,2210,34,0
Phenotypic selection in plant breeding,Old,4NS0rDPpIr4,Genetic Advance,2022-03-27T16:57:35Z,1273.0,2952,125,9
Phenotypic selection in plant breeding,Old,l0C4YIHVpA8,9N - Plant Breeding,2015-08-10T18:12:52Z,521.0,1840,10,0
Phenotypic selection in plant breeding,Old,FRA4vaEh7dM,How to Accelerate Genetic Gains in Crop Improvement Programmes?,2020-06-13T13:55:26Z,5108.0,1871,72,0
Phenotypic selection in plant breeding,Old,DwVnPV-7aCg,Challenges of Plant Breeding: History and Current Status: Genomic Selection (2012),2017-03-01T22:14:29Z,3021.0,499,5,0
Phenotypic selection in plant breeding,Old,CpRYhwqqSGQ,PLANT BREEDING AND SELECTION USING MOLECULAR MARKERS,2020-07-06T01:32:26Z,956.0,10351,182,1
Phenotypic selection in plant breeding,Old,GwvTfZCYCkE,Plants and Animals Breeding and Selection Methods-1,2018-01-19T05:00:24Z,1142.0,2010,24,2
Phenotypic selection in plant breeding,Old,tJfFv_3SMyM,Phenotype's & Pheno Hunting Explained,2024-12-04T16:29:48Z,309.0,10,1,0
Phenotypic selection in plant breeding,Old,8QYnJQ7nC-k,What Is Plant Breeding?,2022-11-21T08:20:23Z,1977.0,751,12,0
Phenotypic selection in plant breeding,Old,eAjC_kdJyro,Marker-assisted selection #scienceeducation #cellularprocesses #biologylearning #biologyeducation,2023-09-14T20:20:01Z,18.0,429,16,0
Phenotypic selection in plant breeding,Old,_KP7rC8tEHQ,Lecture 8: Plant Genetics,2014-08-18T22:37:41Z,1875.0,1547,7,0
Phenotypic selection in plant breeding,Old,XG-nWh0ORpA,Introductory Plant Breeding - Response to Selection (Part 2),2020-09-30T15:29:32Z,1228.0,247,4,0
Phenotypic selection in plant breeding,Old,W9MI3mSzDhY,Liz Jones: Understanding the genetic architecture of quantitative traits in plant breeding ...,2018-10-24T19:13:26Z,2722.0,1304,22,2
Phenotypic selection in plant breeding,Old,k3JhbkUw9wM,Genomic selection in plants: a new tool for crop improvement,2015-03-02T10:28:40Z,1821.0,3213,26,0
Phenotypic selection in plant breeding,Old,IKslQlRKyVU,Transdisciplinary plant phenomics and phenotyping for breeding and genetics,2021-02-24T18:37:17Z,1318.0,315,11,1
Phenotypic selection in plant breeding,Old,LhwC_ojuO80,Genomic Selection Module 3.0a: Why use Genomic Selection? Part 1,2017-07-18T11:34:28Z,517.0,1828,25,0
Phenotypic selection in plant breeding,Old,CNhoJ-tuao0,Funmi Ladejobi and Mike Scott summarise the potential for using MAGIC populations in Plant Breeding,2020-11-24T21:30:26Z,2005.0,233,4,0
Phenotypic selection in plant breeding,Old,xRIrLwgnE7E,Using information from natural populations to improve plant and animal breeding,2018-11-30T11:31:44Z,2486.0,416,5,1
Phenotypic selection in plant breeding,Old,jZ1-kJVTqvY,Phenomic Selection: predicting quantitative traits in canola with NIRSprofiles,2023-01-16T07:49:57Z,2746.0,470,11,0
Phenotypic selection in plant breeding,Old,wsX6PVAOfxY,Alleles: Unlocking the Genetic Code of Traits 🧬🌿#biologylearning #scienceeducation #molecularbiology,2023-09-05T22:00:36Z,12.0,73,3,0
Phenotypic selection in plant breeding,Old,VYeLchl5Dfo,Breeding Methods for Self-Pollinated Crops#plantbreeding #planteducation #plantgenetics,2024-11-26T10:52:18Z,413.0,44,5,0
Phenotypic selection in plant breeding,Old,-W31acHwAVE,Webinar: Enhancing and measuring Genetic Gain in crop breeding,2020-11-20T19:33:57Z,7661.0,4064,67,3
Phenotypic selection in plant breeding,Old,2gkmnRcCvIo,Philomin Juliana: Genomic selection in the CIMMYT global wheat program...,2020-05-09T13:54:00Z,2196.0,857,17,0
Phenotypic selection in plant breeding,Old,7oaBRTdWI6I,Introduction: Breeding process F1 and F2 formation in plants,2021-01-02T10:27:58Z,432.0,107,7,1
Phenotypic selection in plant breeding,Old,8BDiXdhftYs,The Future of Plant Breeding and Your Future: Genomic Selection as a Case Study (2012),2017-03-01T22:55:09Z,3632.0,442,7,0
Phenotypic selection in plant breeding,Old,l_tHc8VuZ2M,Plant Breeding and Genetic Improvement,2023-06-03T08:46:40Z,57.0,1618,62,0
Phenotypic selection in plant breeding,Old,j2leeO_RhPk,Phenotypic Stability: The Consistency of GeneticTraits 🌿🧬,2023-09-12T08:20:00Z,24.0,35,0,0
Phenotypic selection in plant breeding,Old,VwFnWTcGrZU,Combining Pedigree and Genomic Data into Plant Breeding GBLUP Analyses,2022-09-02T06:30:44Z,3598.0,2733,55,0
Phenotypic selection in plant breeding,Old,mAnd8nxXHto,Genomic prediction and selection in plant breeding: Interview with Fred van Eeuwijk,2016-03-22T08:52:50Z,130.0,669,2,0
Phenotypic selection in plant breeding,Old,8ATRfaiaOLg,An Introduction To Plant Breeding,2017-12-06T10:27:33Z,874.0,407978,6448,206
Phenotypic selection in plant breeding,Old,TL9y1zXXOUE,Phenotypic Plasticity: The Best Approach for Stress Selection,2019-07-25T05:45:19Z,57.0,115,7,1
Phenotypic selection in plant breeding,Old,X4Pxy3_Sdq0,GeneSprout Webinar: Plant Breeding and its History,2020-12-10T13:53:23Z,3523.0,276,8,0
Phenotypic selection in plant breeding,Old,hanlkPC-TIc,PLANT BREEDING USING MARKER ASSISTED SELECTION,2017-11-10T06:15:30Z,1068.0,3927,55,3
Phenotypic selection in plant breeding,Old,46acaiEZz-w,plbr403 - Genetic Improvement of Crop Plants - Lecture 29,2014-01-15T17:14:23Z,3151.0,1939,16,0
Phenotypic selection in plant breeding,Old,aOJZa-pjkKs,Genetic Correlation in Animal Breeding | Phenotypic Correlation | Environmental Correlation,2023-02-27T09:00:00Z,390.0,5011,75,2
Phenotypic selection in plant breeding,Old,v1DHGuiwTj4,Heritability | Heritability in plant breeding | Heritability Genetics #csirnet #genetics #shorts,2023-10-04T15:24:50Z,7.0,2217,54,0
Phenotypic selection in plant breeding,Old,Wg0AycBcVYQ,Plantgenomia Webinar #1 International Webinar On Genomic Selection In Crop Plants,2020-10-24T20:05:08Z,8990.0,7498,636,35
Phenotypic selection in plant breeding,Old,wkDiR-7GklM,plbr403 - Genetic Improvement of Crop Plants - Lecture 3,2014-01-15T17:14:23Z,3011.0,6363,91,1
Phenotypic selection in plant breeding,Old,l8zo9MA4ls0,The use of KASP for plant & animal breeding to select desirable population genetics,2018-04-10T18:54:42Z,1082.0,2027,15,1
Pedigree breeding in plant breeding,Old,z5sW2P1_O10,PEDIGREE SELECTION | B.Sc Agriculture | Fundamentals of Plant Breeding,2020-12-23T03:23:24Z,978.0,9537,123,0
Pedigree breeding in plant breeding,Old,OQv29ftIydM,pedigree method of plant breeding,2017-02-06T17:39:11Z,568.0,55029,678,32
Pedigree breeding in plant breeding,Old,t3XoGs9KoF4,Pedigree Method in Plant Breeding | Method of Handling Segregating Generation | Agriculture,2020-06-07T12:24:43Z,1927.0,156601,6676,258
Pedigree breeding in plant breeding,Old,DWTInHIQ8W4,Pedigree selection,2022-05-18T11:50:20Z,759.0,772,27,5
Pedigree breeding in plant breeding,Old,b9dNn_51QUM,Pedigree Selection in Plant Breeding: A Comprehensive Guide #plantgenetics  #agriculture,2024-09-18T17:38:25Z,477.0,114,4,1
Pedigree breeding in plant breeding,Old,q02g_OKTByM,How seed breeding works,2016-09-29T22:39:48Z,117.0,162075,2986,0
Pedigree breeding in plant breeding,Old,tbXZ9y5Wa5I,Pedigree breeding - Breeding Methods - Self Pollinated Crops.,2021-05-20T18:11:53Z,2333.0,4528,120,8
Pedigree breeding in plant breeding,Old,VwFnWTcGrZU,Combining Pedigree and Genomic Data into Plant Breeding GBLUP Analyses,2022-09-02T06:30:44Z,3598.0,2733,55,0
Pedigree breeding in plant breeding,Old,vSixId-B3ZY,Pedigree Method of Breeding Part-1,2020-10-30T09:03:22Z,794.0,4001,153,4
Pedigree breeding in plant breeding,Old,PaifrWZykKQ,II Pedigree Method II,2024-03-07T15:06:39Z,57.0,7458,765,4
Pedigree breeding in plant breeding,Old,24orGeZa9vs,Pedigree Method,2020-04-11T17:05:07Z,589.0,1059,14,0
Pedigree breeding in plant breeding,Old,SzyYUykPAkw,pedigree_breeding_method part 1 b.sc ag 3rd semester  definition of pedigree method plant breeding,2022-08-01T17:24:07Z,13.0,1916,35,0
Pedigree breeding in plant breeding,Old,3H6s9dSmC-w,Breeding methods used in self pollinated crops,2022-11-28T04:23:40Z,14.0,12286,296,1
Pedigree breeding in plant breeding,Old,nYMoWtTXkwI,Plant Breeding Innovation Animation,2019-01-15T13:06:23Z,153.0,8444,115,4
Pedigree breeding in plant breeding,Old,iXmwM6EohCc,Use of Pedigree Method in plant breeding,2022-08-08T23:08:13Z,255.0,7637,127,0
Pedigree breeding in plant breeding,Old,BZJX9mgxuoY,Breeding Methods Part 4 (Pedigree method) |,2019-10-03T17:35:20Z,877.0,53743,1033,0
Pedigree breeding in plant breeding,Old,j5dz3kuXGWw,Pedigree Method,2020-05-21T14:44:30Z,761.0,322,6,1
Pedigree breeding in plant breeding,Old,1WuwwYcDHMg,Plant breeding,2015-12-09T15:21:35Z,871.0,161073,2074,127
Pedigree breeding in plant breeding,Old,OYnH8QHj4m0,Mass & Pedigree Selection | Plant Breeding | Lecture #31 | ICAR JRF and CUET Preparation - Prayas,2023-08-11T13:30:10Z,2106.0,4690,140,7
Pedigree breeding in plant breeding,Old,54nIFhmDSg4,Heterosis: A live example and live example of Pedigree method of Breeding,2020-10-28T00:48:11Z,428.0,1237,72,2
Pedigree breeding in plant breeding,Old,X53HCxmkFgU,Methods of Breeding: Pedigree Method,2020-03-25T20:03:50Z,948.0,2270,56,3
Pedigree breeding in plant breeding,Old,ObY2RZdcICc,"Pedigree method of selection, definition and applications, part-1",2022-11-23T15:59:27Z,1178.0,665,20,8
Pedigree breeding in plant breeding,Old,WHZgyvIMUQs,pedigree method of plant Breeding/Handling segregation generation (agriculture),2023-01-03T15:07:45Z,1491.0,60,3,1
